Ano;Linha;Estação;Mês;Fluxo
2024;Azul;Jabaquara;Jan;63
2024;Azul;Conceição;Jan;23
2024;Azul;São Judas;Jan;13
2024;Azul;Saúde-Ultrafarma;Jan;22
2024;Azul;Praça da Árvore;Jan;13
2024;Azul;Santa Cruz;Jan;81
2024;Azul;Vila Mariana;Jan;14
2024;Azul;Ana Rosa;Jan;64
2024;Azul;Paraíso;Jan;80
2024;Azul;Vergueiro;Jan;21
2024;Azul;São Joaquim;Jan;17
2024;Azul;Japão-Liberdade;Jan;20
2024;Azul;Sé;Jan;153
2024;Azul;São Bento;Jan;49
2024;Azul;Luz;Jan;116
2024;Azul;Tiradentes;Jan;11
2024;Azul;Armênia;Jan;16
2024;Azul;Portuguesa-Tietê;Jan;43
2024;Azul;Carandiru;Jan;9
2024;Azul;Santana;Jan;41
2024;Azul;Jardim São Paulo-Ayrton Senna;Jan;9
2024;Azul;Parada Inglesa;Jan;11
2024;Azul;Tucuruvi;Jan;47
2024;Verde;Vila Prudente;Jan;62
2024;Verde;Tamanduateí;Jan;62
2024;Verde;Sacomã;Jan;33
2024;Verde;Alto do Ipiranga;Jan;14
2024;Verde;Santos-Imigrantes;Jan;13
2024;Verde;Chácara Klabin;Jan;70
2024;Verde;Ana Rosa;Jan;51
2024;Verde;Paraíso;Jan;53
2024;Verde;Brigadeiro;Jan;44
2024;Verde;Trianon-Masp;Jan;38
2024;Verde;Consolação;Jan;81
2024;Verde;Clínicas;Jan;18
2024;Verde;Santuário N.S. de Fátima-Sumaré;Jan;8
2024;Verde;Vila Madalena;Jan;17
2024;Vermelha;Corinthians-Itaquera;Jan;64
2024;Vermelha;Artur Alvim;Jan;47
2024;Vermelha;Patriarca-Vila Ré;Jan;18
2024;Vermelha;Guilhermina-Esperança;Jan;18
2024;Vermelha;Vila Matilde;Jan;22
2024;Vermelha;Penha-Lojas Besni;Jan;23
2024;Vermelha;Carrão-Assaí Atacadista;Jan;35
2024;Vermelha;Tatuapé;Jan;101
2024;Vermelha;Belém;Jan;32
2024;Vermelha;Bresser-Moóca;Jan;25
2024;Vermelha;Brás;Jan;48
2024;Vermelha;Pedro II;Jan;14
2024;Vermelha;Sé2;Jan;172
2024;Vermelha;Anhangaba;Jan;45
2024;Vermelha;República;Jan;107
2024;Vermelha;Santa Cecília;Jan;19
2024;Vermelha;Marechal Deodoro;Jan;22
2024;Vermelha;Palmeiras-Barra Funda;Jan;126
2024;Prata;Vila Prudente;Jan;46
2024;Prata;Oratório;Jan;5
2024;Prata;São Lucas;Jan;4
2024;Prata;Camilo Haddad;Jan;3
2024;Prata;Vila Tolstói;Jan;4
2024;Prata;Vila União;Jan;5
2024;Prata;Jardim Planalto;Jan;4
2024;Prata;Sapopemba;Jan;7
2024;Prata;Fazenda da Juta;Jan;3
2024;Prata;São Mateus;Jan;14
2024;Prata;Jardim Colonial;Jan;7
2023;Azul;Jabaquara;Jan;63
2023;Azul;Conceição;Jan;20
2023;Azul;São Judas;Jan;12
2023;Azul;Saúde;Jan;21
2023;Azul;Praça da Árvore;Jan;12
2023;Azul;Santa Cruz;Jan;76
2023;Azul;Vila Mariana;Jan;13
2023;Azul;Ana Rosa;Jan;59
2023;Azul;Paraíso;Jan;73
2023;Azul;Vergueiro;Jan;21
2023;Azul;São Joaquim;Jan;17
2023;Azul;Japão-Liberdade;Jan;19
2023;Azul;Sé;Jan;144
2023;Azul;São Bento;Jan;48
2023;Azul;Luz;Jan;108
2023;Azul;Tiradentes;Jan;10
2023;Azul;Armênia;Jan;17
2023;Azul;Portuguesa-Tietê;Jan;43
2023;Azul;Carandiru;Jan;8
2023;Azul;Santana;Jan;41
2023;Azul;Jardim São Paulo-Ayrton Senna;Jan;8
2023;Azul;Parada Inglesa;Jan;9
2023;Azul;Tucuruvi;Jan;47
2023;Vermelha;Corinthians-Itaquera;Jan;64
2023;Vermelha;Artur Alvim;Jan;46
2023;Vermelha;Patriarca;Jan;17
2023;Vermelha;Guilhermina-Esperança;Jan;17
2023;Vermelha;Vila Matilde;Jan;21
2023;Vermelha;Penha;Jan;22
2023;Vermelha;Carrão;Jan;34
2023;Vermelha;Tatuapé;Jan;64
2023;Vermelha;Belém;Jan;31
2023;Vermelha;Bresser-Mooca;Jan;24
2023;Vermelha;Brás;Jan;66
2023;Vermelha;Pedro II;Jan;14
2023;Vermelha;Sé;Jan;164
2023;Vermelha;Anhangabaú;Jan;42
2023;Vermelha;República;Jan;101
2023;Vermelha;Santa Cecília;Jan;19
2023;Vermelha;Marechal Deodoro;Jan;22
2023;Vermelha;Palmeiras-Barra Funda;Jan;119
2023;Prata;Vila Prudente;Jan;46
2023;Prata;Oratório;Jan;5
2023;Prata;São Lucas;Jan;4
2023;Prata;Camilo Haddad;Jan;3
2023;Prata;Vila Tolstói;Jan;4
2023;Prata;Vila União;Jan;4
2023;Prata;Jardim Planalto;Jan;4
2023;Prata;Sapopemba;Jan;7
2023;Prata;Fazenda da Juta;Jan;3
2023;Prata;São Mateus;Jan;14
2023;Prata;Jardim Colonial;Jan;5
2022;Azul;Jabaquara;Jan;53
2022;Azul;Conceição;Jan;16
2022;Azul;São Judas;Jan;10
2022;Azul;Saúde;Jan;18
2022;Azul;Praça da Árvore;Jan;10
2022;Azul;Santa Cruz;Jan;66
2022;Azul;Vila Mariana;Jan;11
2022;Azul;Ana Rosa;Jan;46
2022;Azul;Paraíso;Jan;57
2022;Azul;Vergueiro;Jan;16
2022;Azul;São Joaquim;Jan;14
2022;Azul;Japão-Liberdade;Jan;14
2022;Azul;Sé;Jan;125
2022;Azul;São Bento;Jan;38
2022;Azul;Luz;Jan;86
2022;Azul;Tiradentes;Jan;8
2022;Azul;Armênia;Jan;15
2022;Azul;Portuguesa-Tietê;Jan;35
2022;Azul;Carandiru;Jan;7
2022;Azul;Santana;Jan;35
2022;Azul;Jardim São Paulo-Ayrton Senna;Jan;7
2022;Azul;Parada Inglesa;Jan;7
2022;Azul;Tucuruvi;Jan;39
2022;Verde;Vila Prudente;Jan;48
2022;Verde;Tamanduateí;Jan;47
2022;Verde;Sacomã;Jan;26
2022;Verde;Alto do Ipiranga;Jan;11
2022;Verde;Santos-Imigrantes;Jan;9
2022;Verde;Chácara Klabin;Jan;48
2022;Verde;Ana Rosa;Jan;41
2022;Verde;Paraíso;Jan;42
2022;Verde;Brigadeiro;Jan;28
2022;Verde;Trianon-Masp;Jan;24
2022;Verde;Consolação;Jan;55
2022;Verde;Clínicas;Jan;13
2022;Verde;Santuário N.S. de Fátima-Sumaré;Jan;5
2022;Verde;Vila Madalena;Jan;11
2022;Vermelha;Corinthians-Itaquera;Jan;56
2022;Vermelha;Artur Alvim;Jan;39
2022;Vermelha;Patriarca;Jan;14
2022;Vermelha;Guilhermina-Esperança;Jan;14
2022;Vermelha;Vila Matilde;Jan;17
2022;Vermelha;Penha;Jan;19
2022;Vermelha;Carrão;Jan;29
2022;Vermelha;Tatuapé;Jan;53
2022;Vermelha;Belém;Jan;26
2022;Vermelha;Bresser-Mooca;Jan;21
2022;Vermelha;Brás;Jan;67
2022;Vermelha;Pedro II;Jan;13
2022;Vermelha;Sé;Jan;136
2022;Vermelha;Anhangabaú;Jan;34
