Data;Linha;Fluxo Total;Média Dias Úteis;Maior Máxima Diária
2024-01-01;Azul;17684;687;759
2024-01-01;Verde;10704;432;495
2024-01-01;Vermelha;20195;786;890
2024-01-01;Prata;1575;64;71
2024-02-01;Azul;18558;789;829
2024-02-01;Verde;11727;512;548
2024-02-01;Vermelha;20722;872;908
2024-02-01;Prata;1733;75;79
2024-03-01;Azul;20437;830;852
2024-03-01;Verde;12756;535;558
2024-03-01;Vermelha;22256;900;936
2024-03-01;Prata;1901;79;81
2024-04-01;Azul;21247;828;844
2024-04-01;Verde;13423;536;557
2024-04-01;Vermelha;23031;894;923
2024-04-01;Prata;2043;81;83
2024-05-01;Azul;20623;820;844
2024-05-01;Verde;12893;533;557
2024-05-01;Vermelha;22415;886;917
2024-05-01;Prata;1992;81;84
2024-06-01;Azul;19934;806;848
2024-06-01;Verde;12532;521;547
2024-06-01;Vermelha;21887;879;919
2024-06-01;Prata;1919;81;84
2024-07-01;Azul;19649;746;774
2024-07-01;Verde;12274;484;515
2024-07-01;Vermelha;21470;821;861
2024-07-01;Prata;1914;76;81
2024-08-01;Azul;21265;812;858
2024-08-01;Verde;13422;529;558
2024-08-01;Vermelha;23216;882;928
2024-08-01;Prata;2144;83;86
2024-09-01;Azul;20995;833;874
2024-09-01;Verde;13094;537;561
2024-09-01;Vermelha;22585;899;954
2024-09-01;Prata;2037;85;88
2024-10-01;Azul;22206;832;869
2024-10-01;Verde;13971;539;567
2024-10-01;Vermelha;24049;894;926
2024-10-01;Prata;2226;84;88
2024-11-01;Azul;20460;847;879
2024-11-01;Verde;12668;548;575
2024-11-01;Vermelha;22098;907;945
2024-11-01;Prata;2027;87;89
2024-12-01;Azul;18840;765;888
2024-12-01;Verde;11419;482;566
2024-12-01;Vermelha;20679;834;960
2024-12-01;Prata;1876;78;89
2023-01-01;Azul;17163;659;725
2023-01-01;Verde;9831;390;446
2023-01-01;Prata;1505;59;66
2023-01-01;Vermelha;19282;741;817
2023-02-01;Azul;17057;757;792
2023-02-01;Verde;10104;461;490
2023-02-01;Prata;1531;69;76
2023-02-01;Vermelha;19249;844;888
2023-03-01;Azul;20324;803;828
2023-03-01;Verde;12263;494;520
2023-03-01;Prata;1692;72;74
2023-03-01;Vermelha;22571;888;914
2023-04-01;Azul;18701;808;830
2023-04-01;Verde;10961;492;512
2023-04-01;Prata;1653;72;74
2023-04-01;Vermelha;20602;886;973
2023-05-01;Azul;20998;804;829
2023-05-01;Verde;12543;493;512
2023-05-01;Prata;1886;73;75
2023-05-01;Vermelha;23125;880;901
2023-06-01;Azul;19720;785;858
2023-06-01;Verde;11713;478;521
2023-06-01;Prata;1732;73;77
2023-06-01;Vermelha;21868;859;932
2023-07-01;Azul;19187;735;770
2023-07-01;Verde;11490;453;477
